country,ccode,ccode_gw,ccode_polity,year,month,day,coup,version,Contributor,Status,Link to Narrative,~ Time to complete,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,,,,,,,,,
Mauritania,435,,,1978,7,10,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Somalia,520,,,1978,4,9,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Yemen Arab Republic; N. Yemen,678,,,1978,10,15,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Yemen People's Republic; S. Yemen,680,,,1978,6,26,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Angola,540,,,1977,5,27,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bangladesh,771,,,1977,10,2,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Chad,483,,,1977,4,1,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ethiopia,530,,,1977,2,3,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Honduras,91,,,1977,10,21,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Pakistan,770,,,1977,7,5,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Seychelles,591,,,1977,6,5,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sudan,625,,,1977,2,3,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Thailand,800,,,1977,3,26,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Thailand,800,,,1977,10,20,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1976,3,24,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Burundi,516,,,1976,11,1,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Central African Republic,482,,,1976,2,5,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ecuador,130,,,1976,1,11,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Lebanon,660,,,1976,3,12,1,V2026.01.13,Reece,Research,,,,,,,,,,,,,,,,,,
Myanmar,775,,,1976,7,2,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Niger,436,,,1976,3,15,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Nigeria,475,,,1976,2,13,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sudan,625,,,1976,7,2,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Thailand,800,,,1976,10,6,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Uruguay,165,,,1976,6,12,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1975,12,18,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1975,12,23,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bangladesh,771,,,1975,8,15,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bangladesh,771,,,1975,11,7,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Benin,434,,,1975,1,21,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Chad,483,,,1975,4,13,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Comoros,581,,,1975,8,3,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ecuador,130,,,1975,9,1,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Honduras,91,,,1975,4,22,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Libya,620,,,1975,8,5,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Mozambique,541,,,1975,12,17,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Nigeria,475,,,1975,7,29,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Peru,135,,,1975,8,29,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Portugal,235,,,1975,3,11,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Portugal,235,,,1975,11,25,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sudan,625,,,1975,9,5,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1974,6,5,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Burkina Faso,439,,,1974,2,8,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Cyprus,352,,,1974,7,15,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ethiopia,530,,,1974,9,12,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Madagascar,580,,,1974,12,31,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Niger,436,,,1974,4,15,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Portugal,235,,,1974,4,25,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Uganda,500,,,1974,3,23,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Uganda,500,,,1974,11,11,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Yemen Arab Republic; N. Yemen,678,,,1974,6,13,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Afghanistan,700,,,1973,7,17,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Chile,155,,,1973,6,29,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Chile,155,,,1973,9,11,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Greece,350,,,1973,11,25,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Iraq,645,,,1973,6,30,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Laos,812,,,1973,8,20,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Rwanda,517,,,1973,7,5,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Uruguay,165,,,1973,2,10,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Benin,434,,,1972,2,23,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Benin,434,,,1972,10,26,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Congo,484,,,1972,2,22,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ecuador,130,,,1972,2,15,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
El Salvador,92,,,1972,3,25,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ghana,452,,,1972,1,13,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Honduras,91,,,1972,12,4,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Morocco,600,,,1972,8,16,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Qatar,694,,,1972,2,22,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,696,,,1972,1,25,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1971,3,22,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1971,10,8,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1971,1,10,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1971,8,22,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Morocco,600,,,1971,7,10,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Pakistan,770,,769,1971,12,19,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sierra Leone,451,,,1971,3,23,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sudan,625,,,1971,7,19,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Turkey,640,,,1971,3,12,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Uganda,500,,,1971,1,25,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1970,6,8,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1970,10,6,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Cambodia,811,,,1970,3,18,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Congo,484,,,1970,3,22,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Haiti,41,,,1970,4,24,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Iraq,645,,,1970,1,20,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Oman,698,,,1970,7,26,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Syria,652,,,1970,11,13,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Benin,434,,,1969,12,10,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1969,9,26,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Brazil,140,,,1969,8,31,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Congo,484,,,1969,11,8,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,411,,,1969,3,5,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Libya,620,,,1969,9,1,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Panama,95,,,1969,12,14,1,V2026.01.13,Tucker,Need to be reviewed ,Panama 1969 Coup Attempt,,Want to re look at with more sources?,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203058664-150/panama-torrijos-coup-1969-david-macmichael,,,,,,,,,,,,,,
Somalia,520,,,1969,10,21,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sudan,625,,,1969,5,25,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Syria,652,,,1969,3,1,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Congo,484,,,1968,8,3,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Congo,484,,,1968,9,4,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Iraq,645,,,1968,7,17,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Mali,432,,,1968,11,19,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Panama,95,,,1968,10,12,2,V2026.01.13,Tucker,Need to be reviewed ,Panama 1968 Coup Attempt.docx,,,,,,,,,,,,,,,,,
Peru,135,,,1968,10,3,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sierra Leone,451,,,1968,4,18,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Syria,652,,,1968,8,11,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Yemen People's Republic; S. Yemen,680,,,1968,3,20,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Yemen People's Republic; S. Yemen,680,,,1968,8,31,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Algeria,615,,,1967,12,14,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Benin,434,,,1967,12,17,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ghana,452,,,1967,4,17,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Greece,350,,,1967,4,21,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Greece,350,,,1967,12,13,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sierra Leone,451,,,1967,3,21,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sierra Leone,451,,,1967,3,23,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Togo,461,,,1967,1,13,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Yemen Arab Republic; N. Yemen,678,,,1967,11,4,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1966,6,28,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Burkina Faso,439,,,1966,1,3,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Burundi,516,,,1966,7,8,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Burundi,516,,,1966,11,28,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Central African Republic,482,,,1966,1,1,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Congo,484,,,1966,6,27,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ecuador,130,,,1966,3,29,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ghana,452,,,1966,2,24,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Indonesia,850,,,1966,3,12,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Iraq,645,,,1966,6,30,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Laos,812,,,1966,10,21,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Nigeria,475,,,1966,1,15,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Nigeria,475,,,1966,7,29,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sudan,625,,,1966,12,18,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sudan,625,,,1966,12,28,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Syria,652,,,1966,2,23,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Syria,652,,,1966,9,8,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Venezuela,101,,,1966,10,30,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Algeria,615,,,1965,6,19,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Benin,434,,,1965,11,29,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Benin,434,,,1965,12,22,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Burundi,516,,,1965,10,18,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,490,,,1965,11,25,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Dominican Republic,42,,,1965,4,25,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Dominican Republic,42,,,1965,11,22,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Indonesia,850,,,1965,10,1,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Iraq,645,,,1965,9,16,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Laos,812,,,1965,1,31,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Laos,812,,,1965,3,28,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Laos,812,,,1965,4,16,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Republic of Vietnam,817,,,1965,1,27,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Republic of Vietnam,817,,,1965,2,19,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Republic of Vietnam,817,,,1965,6,11,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Algeria,615,,,1964,6,30,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1964,11,3,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Brazil,140,,,1964,3,30,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Brazil,140,,,1964,4,1,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Gabon,481,,,1964,2,17,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Laos,812,,,1964,4,19,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Republic of Vietnam,817,,,1964,1,30,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Republic of Vietnam,817,,,1964,9,13,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1963,4,2,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Benin,434,,,1963,10,28,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Brazil,140,,,1963,9,12,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Congo,484,,,1963,8,15,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Dominican Republic,42,,,1963,9,25,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ecuador,130,,,1963,7,11,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Guatemala,90,,,1963,3,30,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Honduras,91,,,1963,10,3,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Iraq,645,,,1963,2,8,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Iraq,645,,,1963,11,18,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Peru,135,,,1963,3,3,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Republic of Vietnam,817,,,1963,11,1,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Syria,652,,,1963,3,8,2,V2026.01.13,Reece,Drafting,"Syria 1963 (3/8,7/18)",3 hours,,,,,,,,,,,,,,,,
Syria,652,,,1963,7,18,1,V2026.01.13,Reece,Drafting,"Syria 1963 (3/8,7/18)",1 hour,,,,,,,,,,,,,,,,
Togo,461,,,1963,1,13,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Turkey,640,,,1963,5,20,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1962,3,28,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1962,8,8,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1962,9,19,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Dominican Republic,42,,,1962,1,16,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Guatemala,90,,,1962,11,25,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Myanmar,775,,,1962,3,2,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Peru,135,,,1962,7,18,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Portugal,235,,,1962,1,1,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Senegal,433,,,1962,12,17,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Syria,652,,,1962,3,28,2,V2026.01.13,Reece,Drafting,Syria 1961-62,1 hour,,,,,,,,,,,,,,,,
Turkey,640,,,1962,2,22,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Venezuela,101,,,1962,5,4,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Venezuela,101,,,1962,6,2,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Yemen Arab Republic; N. Yemen,678,,,1962,9,27,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1961,8,11,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Colombia,100,,,1961,10,11,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ecuador,130,,,1961,11,8,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
El Salvador,92,,,1961,1,25,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ethiopia,530,,,1961,12,14,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Lebanon,660,,,1961,12,31,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Somalia,520,,,1961,12,10,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
South Korea,732,,,1961,5,16,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Syria,652,,,1961,9,28,2,V2026.01.13,Reece,Drafting,Syria 1961-62,3.5 hours,,,,,,,,,,,,,,,,
Venezuela,101,,,1961,2,20,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Venezuela,101,,,1961,6,26,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1960,6,13,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1960,11,30,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1960,3,19,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,490,,,1960,9,14,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
El Salvador,92,,,1960,10,26,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ethiopia,530,,,1960,12,14,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Guatemala,90,,,1960,11,13,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Laos,812,,,1960,8,9,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Laos,812,,,1960,12,8,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Republic of Vietnam,817,,,1960,11,11,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Turkey,640,,,1960,5,27,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Venezuela,101,,,1960,9,12,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1959,4,19,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Brazil,140,,,1959,12,3,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Honduras,91,,,1959,7,12,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Iraq,645,,,1959,3,7,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sudan,625,,,1959,5,21,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sudan,625,,,1959,11,9,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1958,10,21,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Colombia,100,,,1958,5,2,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Iraq,645,,,1958,7,14,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Jordan,663,,,1958,7,1,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Myanmar,775,,,1958,9,26,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Pakistan,770,,769,1958,10,27,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Sudan,625,,,1958,11,17,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Thailand,800,,,1958,10,20,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Venezuela,101,,,1958,1,1,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Venezuela,101,,,1958,7,22,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Venezuela,101,,,1958,9,7,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Colombia,100,,,1957,5,10,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Cuba,40,,,1957,9,5,1,V2026.01.13,Tucker,Need to be fact checked,Cuba 1957 Coup Attempt,,,,,,,,,,,,,,,,,
Guatemala,90,,,1957,10,24,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Haiti,41,,,1957,4,2,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Haiti,41,,,1957,5,21,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Haiti,41,,,1957,6,14,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Jordan,663,,,1957,4,13,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Thailand,800,,,1957,9,16,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1956,6,9,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ecuador,130,,,1956,8,7,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Haiti,41,,,1956,12,12,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Honduras,91,,,1956,8,1,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Honduras,91,,,1956,10,21,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Peru,135,,,1956,2,16,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1955,6,16,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1955,9,16,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1955,11,13,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Brazil,140,,,1955,11,11,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Guatemala,90,,,1955,1,20,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Paraguay,150,,,1955,12,21,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Yemen Arab Republic; N. Yemen,678,,,1955,4,2,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Ecuador,130,,,1954,12,23,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Egypt,651,,,1954,2,27,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Guatemala,90,,,1954,6,29,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Paraguay,150,,,1954,5,5,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Peru,135,,,1954,8,10,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Syria,652,,,1954,2,25,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1953,1,6,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Colombia,100,,,1953,6,13,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Iran,630,,,1953,8,13,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1952,4,9,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Cuba,40,,,1952,3,10,2,V2026.01.13,Tucker,Need to be fact checked,Cuba 1952 Coup Attempt.docx,,,,,,,,,,,,,,,,,
Ecuador,130,,,1952,3,3,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Egypt,651,,,1952,7,23,2,V2026.01.13,Reece,,,,,,,,,,,,,,,,,,,
Venezuela,101,,,1952,9,29,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Argentina,160,,,1951,9,28,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1951,5,16,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Panama,95,,,1951,5,9,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Syria,652,,,1951,11,29,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Thailand,800,,,1951,6,29,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Thailand,800,,,1951,11,29,2,V2026.01.13,,Research,,,,,,,,,,,,,,,,,,
Bolivia,145,,,1950,7,22,1,V2026.01.13,,,,,,,,,,,,,,,,,,,,
Haiti,41,,,1950,5,10,2,V2026.01.13,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,63,,391,106,,,,,,,,,,,,,,,,
,,,,,,,,,41,,,,,,,,,,,,,,,,,,,
,,,,,,,,,104,,,,,,,,,,,,,,,,,,,
