country,ccode,ccode_gw,ccode_polity,year,month,day,coup,version,Contributor,Status,Link to Narrative,~ Time to complete,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,Other sources to consider. ,,,,,,,,,
Honduras,91,,,2009,6,28,2,V2026.01.13,Tucker,Need to be fact checked,Honduras 2009 Coup Attempt,,,,,,,,,,,,,,,,,
Madagascar,580,,,2009,3,17,2,V2026.01.13,Reece,Drafting,,,,,,,,,,,,,,,,,,
Guinea,438,,,2008,12,23,2,V2026.01.13,Tucker,Need to be fact checked,Guinea 2008 Coup Attempt,,,,,,,,,,,,,,,,,
Guinea-Bissau,404,,,2008,11,23,1,V2026.01.13,Tucker,Need to be fact checked,Guinea-Bissau 2008 Coup Attempt,,,,,,,,,,,,,,,,,
Mauritania,435,,,2008,8,6,2,V2026.01.13,Tucker,Need to be fact checked,Mauritania 2008 Coup Attempt,,,,,,,,,,,,,,,,,
Chad,483,,,2006,3,13,1,V2026.01.13,Tucker,Need to be fact checked,Chad 2006 Coup Attempt,,,,,,,,,,,,,,,,,
Fiji,950,,,2006,12,5,2,V2026.01.13,Reece,Need to be fact checked,Fiji 12-5-06,,,,,,,,,,,,,,,,,
Thailand,800,,,2006,9,19,2,V2026.01.13,Reece,Need to be fact checked,Thailand 9-19-06,,,,,,,,,,,,,,,,,
Mauritania,435,,,2005,8,3,2,V2026.01.13,Reece,Need to be fact checked,Mauritania 8-3-2005.docx,,,,,,,,,,,,,,,,,
Togo,461,,,2005,2,5,2,V2026.01.13,Reece,Need to be fact checked,TOGO 2-5-2005.docx,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,490,,,2004,3,28,1,V2026.01.13,Reece,Need to be fact checked,need to find,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,490,,,2004,6,11,1,V2026.01.13,Reece,Need to be fact checked,need to find,,,,,,,,,,,,,,,,,
Central African Republic,482,,,2003,3,15,2,V2026.01.13,Reece,Need to be fact checked,CAR 3-15-2003.docx,,,,,,,,,,,,,,,,,
Guinea-Bissau,404,,,2003,9,14,2,V2026.01.13,Reece,Need to be fact checked,need to find,,,,,,,,,,,,,,,,,
Mauritania,435,,,2003,6,8,1,V2026.01.13,Reece,Need to be fact checked,need to find,,,,,,,,,,,,,,,,,
Sao Tome and Principe,403,,,2003,7,16,2,V2026.01.13,Reece,Need to be fact checked,Sao Tome and Principe 7-16-2003.docx,,,,,,,,,,,,,,,,,
Ivory Coast,437,,,2002,9,19,1,V2026.01.13,Reece,,,,,,,,,,,,,,,,,,,
